univ,id,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,p1,p2,p3
1,63,2,3,2,2,4,3,4,4,4,3,4,4,2,4,3,4,2,3,4,3,3,1,5
1,64,3,4,4,3,4,2,3,2,4,4,4,4,1,1,4,3,2,4,5,2,3,1,1
1,65,3,5,4,3,3,4,4,4,4,3,5,4,3,4,2,1,2,2,4,4,3,1,5
1,66,3,4,3,3,4,4,5,4,4,3,4,3,1,4,4,2,1,3,4,4,3,1,1
1,67,3,4,3,2,4,3,3,2,3,2,4,4,4,4,4,4,2,4,3,2,4,1,1
1,68,4,3,3,3,4,4,4,2,4,4,3,3,4,4,4,3,2,3,3,4,4,2,1
1,69,1,3,5,3,3,2,4,2,4,3,4,2,2,4,3,5,2,3,4,3,4,3,1
1,70,2,3,4,3,5,4,5,3,5,2,5,2,1,4,3,5,2,4,5,5,4,1,2
1,71,3,3,4,3,4,4,4,2,3,2,2,4,2,4,4,2,2,2,3,4,4,3,3
1,72,3,2,2,3,3,4,5,2,4,3,2,2,3,3,4,2,2,4,2,4,4,1,1
1,73,3,4,4,2,3,3,4,2,3,2,3,2,2,4,5,2,2,3,3,5,4,3,1
1,74,4,4,5,4,3,3,5,3,3,4,5,3,3,4,4,3,2,2,5,2,4,1,1
1,75,2,2,4,2,3,4,3,2,3,4,5,2,3,2,4,4,2,4,5,2,4,1,1
1,76,2,2,4,2,4,2,5,4,4,3,4,4,1,2,2,3,1,2,5,3,4,2,5
1,77,1,1,4,2,5,3,5,3,4,3,4,2,3,4,3,3,2,4,4,4,4,1,1
1,78,3,2,4,3,4,4,5,4,4,2,2,4,2,4,3,1,2,2,2,4,4,3,5
1,79,3,1,2,2,2,2,4,3,2,2,1,5,1,5,4,1,1,4,2,2,4,1,5
1,80,2,4,5,3,4,2,3,2,4,3,5,2,3,3,2,5,3,3,3,2,4,1,1
1,81,2,2,2,3,3,3,4,2,3,2,4,4,3,4,4,2,2,3,4,4,4,3,1
1,82,2,2,4,2,4,4,4,2,3,3,5,1,4,2,4,4,3,2,4,2,4,1,1
2,1,3,2,4,3,5,5,5,2,3,3,5,2,2,1,3,3,2,2,5,2,1,4,3
2,2,2,2,2,2,3,3,4,2,3,2,3,4,2,5,4,1,1,3,4,5,1,4,1
2,3,3,2,4,2,3,3,5,2,3,3,4,2,2,4,4,3,2,3,4,4,1,4,2
2,4,3,3,4,2,2,2,4,2,2,3,4,4,3,5,4,3,1,2,5,2,1,1,5
2,5,4,4,5,2,5,3,4,4,4,4,5,4,4,4,3,4,3,4,5,4,1,1,5
2,6,3,4,4,2,4,4,5,2,4,3,2,4,3,4,4,1,2,5,3,4,1,1,3
2,7,2,3,2,2,1,1,2,2,2,2,2,3,1,4,5,1,2,3,2,3,1,1,5
2,8,2,3,4,1,4,4,5,2,3,2,5,4,1,4,5,1,2,3,5,3,1,1,5
2,9,2,3,3,2,3,2,4,3,2,2,4,2,2,2,3,4,3,3,5,4,1,1,3
2,10,2,1,3,2,4,4,5,4,4,3,4,4,1,4,4,1,1,2,4,5,1,4,3
2,11,2,3,5,1,2,4,4,3,3,3,5,3,4,3,4,3,3,4,5,3,1,1,3
2,12,4,2,5,2,2,1,5,3,2,3,4,4,3,5,4,3,2,4,4,5,1,1,2
2,13,1,4,2,1,3,4,4,3,2,1,4,3,1,4,4,2,1,2,4,2,1,1,1
2,14,4,2,4,4,4,2,4,2,3,4,5,4,3,2,4,2,2,3,5,3,1,1,5
2,15,4,3,5,4,4,4,5,3,4,4,4,2,3,4,3,1,2,2,4,4,1,1,2
2,16,4,1,3,3,2,4,5,4,4,4,2,5,1,4,5,2,2,5,1,4,1,3,5
2,17,2,2,1,3,3,2,5,3,4,4,4,5,3,4,2,4,1,5,4,5,1,4,5
2,18,2,5,4,3,4,4,5,4,2,2,4,4,2,2,3,4,2,4,4,3,1,1,2
2,19,3,2,4,3,2,3,5,4,3,2,5,3,4,2,5,5,4,4,4,2,1,1,5
2,20,3,4,3,4,4,4,4,5,2,2,4,4,2,5,5,4,2,4,4,4,1,1,2
2,21,2,3,2,2,4,2,4,3,2,2,2,4,2,4,4,1,2,3,5,5,1,1,1
2,22,3,4,2,3,4,4,5,2,3,2,2,5,1,5,5,1,2,5,3,5,1,1,2
2,23,3,4,3,3,4,3,4,2,2,3,5,4,3,4,4,3,2,3,5,2,2,1,5
2,24,2,4,5,2,2,4,4,3,2,3,4,4,3,4,4,3,3,4,4,4,2,1,2
2,25,4,4,2,3,2,3,5,3,3,4,3,2,1,5,5,2,2,2,5,3,2,1,1
