CountryName,WorldRank,Score,PropertyRights,JudicalEffectiveness,FiscalHealth,BusinessFreedom,LaborFreedom,MonetaryFreedom,TradeFreedom,InvestmentFreedom ,FinancialFreedom
Oman,82,62.1,60.8,52.3,36.3,68.4,70.3,80.6,85.2,65,60
Pakistan,141,52.8,36.4,34.1,30.8,61.2,37.8,74.8,67.2,55,40
Panama,54,66.3,61.1,21.5,84.9,74.4,43,78.4,77.8,75,70
Papua New Guinea,152,50.9,37.7,54,16.7,59.8,67.4,69.8,85.4,25,30
Paraguay,80,62.4,38.2,23.3,95.1,62.4,28.5,78.3,76.6,75,60
Peru,43,68.9,58.3,28.2,98.4,69.4,62.8,83.3,87.1,75,60
Philippines,58,65.6,49.2,37.1,97.2,62.6,57.2,80.6,76.4,60,60
Poland,45,68.3,60.8,58,76.1,67.8,61.5,84.7,87,75,70
Portugal,77,62.6,73.3,68.9,32.1,86.4,43.4,85.9,87,70,60
Qatar,29,73.1,74.8,63,97.4,68.1,65.4,80.6,83.1,55,60
Romania,39,69.7,63.9,58.5,90.9,65.9,62.5,83.6,87,75,50
Russia,114,57.1,47.6,44.5,93.4,74.8,50.8,57.3,75.2,30,30
Rwanda,51,67.6,64.4,68.8,83.3,59,81.8,80,70.3,60,40
Saint. Lucia,62,65,65.5,68.8,53.8,77.2,68.7,82.3,71.6,65,40
Saint. Vincent and the Grenadines,59,65.2,37.3,68.8,66.7,80.3,74.5,82.9,65.2,75,40
Samoa,108,58.4,51.3,22.6,66.6,77,73.3,84.5,70.7,55,30
S?o Tom? and Pr?ncipe,124,55.4,37.7,15.9,67.1,65,47.2,69.6,71.8,65,30
Saudi Arabia,64,64.4,62,65,65.7,73.8,68.5,70.1,78.2,40,50
Senegal,120,55.9,44,39.3,51.8,50.8,38.9,86,73.1,60,40
Serbia,99,58.9,50.3,40.2,46.9,62.9,65.9,80.8,77.8,70,50
Seychelles,85,61.8,55.2,42.6,90.7,63.4,55.9,78.3,83.4,55,30
Sierra Leone,145,52.6,37.4,27,76.2,49.6,29.7,71.1,69.4,60,20
Singapore,2,88.6,97.1,91.5,80.7,95.1,90.8,84.3,90,85,80
Slovak Republic,57,65.7,69,38,82.9,64.9,54.4,81.1,87,75,70
Slovenia,97,59.2,75,55.1,6.1,80.6,60.2,85.3,87,70,50
Solomon Islands,126,55,39.3,41.9,99.8,68.5,70.5,81,83,15,30
South Africa,81,62.3,67.6,59.7,70,62,58.9,75.8,77.3,40,50
Spain,69,63.6,71.2,53.9,26.9,66.9,55.3,85.5,87,85,70
Sri Lanka,112,57.4,48,48.3,31.2,72.8,57.5,76,74.5,35,40
Sudan,164,48.8,31.1,19.8,85.5,53.9,49.7,59.3,50.5,15,20
